scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
SR,12,R2,1086,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,1,0,0,,FALSE,P,FALSE,,0,2,,,,
YR,13,B3,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,,FALSE,P,FALSE,,0,1,,,,
JJ,13,B2,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,,FALSE,No,FALSE,,0,2,,,,
AY,13,R3,540,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,6,5,0,,FALSE,No,FALSE,,0,4,,,,
KO,13,R2,10257,R2,FALSE,TRUE,0,0,0,0,FALSE,TRUE,1,0,1,0,0,0,1,,FALSE,P,FALSE,,0,3,,,,
EG,13,R1,2106,R1,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,1,2,5,,TRUE,P,FALSE,,0,4,,,,
BH,13,B1,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,,
YR,14,B3,539,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,1,0,,FALSE,P,FALSE,,0,1,,,,
YZ,14,R2,5724,R1,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,0,0,0,,FALSE,P,FALSE,,0,2,,,,
JJ,14,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,,FALSE,P,FALSE,,0,3,,,Their coral intake is really bad,
BH,14,B1,2998,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,4,,,Good defense,
SR,14,R1,1731,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,5,,TRUE,D,FALSE,,0,4,,,Recount tele coral,
MH,14,R3,449,R2,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,4,2,5,,FALSE,P,FALSE,,0,5,,,,
SR,15,R1,2988,R2,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,1,,,,
YR,15,B3,1086,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,3,1,0,3,0,,FALSE,P,FALSE,,0,3,,,,
JJ,15,B2,9214,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,Still able to occasionally move their subsystem.,
