scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
GL,16,B1,449,F,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,6,6,1,2,FALSE,P,FALSE,0,0,5,NA,,449!! Absolute cinema
AX,16,R3,10675,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,3,FALSE,No,FALSE,0,0,3,NA,,"Sat in the wrong barge, did not park in correct color"
BH,17,B3,3748,C,FALSE,TRUE,0,0,1,0,TRUE,FALSE,0,0,0,1,3,2,0,2,FALSE,P,FALSE,0,0,3,NA,,
AW,17,R1,3793,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,0,FALSE,P,FALSE,0,0,2,NA,,
LJ,17,B2,10449,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,1,FALSE,P,FALSE,0,0,2,NA,,"Kitbot, struggled to move around alliance partners, coral landed in robot so robot couldn41391t play for about a minute"
GL,17,B1,10224,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,1,FALSE,P,FALSE,0,0,3,NA,2,Capable of descoring algae from reef
JY,17,R3,2537,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,2,FALSE,P,FALSE,0,0,2,NA,2,long time depositing coral
IH,17,R2,888,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,1,9,1,FALSE,P,FALSE,0,0,5,NA,,"Consistent L4 scoring, semi consistent intake outtake transfer"
BH,18,B3,7770,C,FALSE,TRUE,0,1,0,0,FALSE,FALSE,0,0,0,0,0,0,5,2,FALSE,P,FALSE,0,0,3,NA,,
IH,18,R2,623,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,de,,Died during auto
AW,18,R1,4464,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,1,FALSE,P,FALSE,0,3,2,NA,,
GL,18,B1,8622,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,2,FALSE,P,FALSE,0,0,2,NA,,
LJ,18,B2,7886,M,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,1,0,0,0,0,1,FALSE,P,FALSE,0,0,3,NA,,"After dropping preloaded coral, moved to clear algae from reef, finished with about ~1:10 left, ground intake inconsistent and requires pushing against wall"
AX,18,R3,339,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,4,0,0,0,FALSE,P,FALSE,0,0,3,NA,5,"Very slow loading of coral, frequent need to reload because coral not positioned correctly"
AW,19,R1,5587,C,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,1,di,2,Manip fell off
BH,19,B3,3714,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,2,NA,0,
JY,19,R3,2377,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,2,FALSE,P,FALSE,0,0,3,NA,5,L1 bot
IH,19,R2,9709,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,5,FALSE,P,FALSE,0,0,2,NA,1,"Okay intake, out take no precision"
GL,19,B1,404,C,FALSE,FALSE,0,0,0,0,TRUE,TRUE,0,0,2,0,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,,404 was indeed not found41389 cus it was hiding >:( think a wheel broke or smth
LJ,19,B2,1727,M,FALSE,TRUE,2,0,0,0,TRUE,FALSE,0,0,0,2,0,9,0,0,TRUE,No,FALSE,0,0,4,NA,,Coral always wobbly but somehow it works? Pretty consistent L1
AW,20,R1,1811,C,FALSE,TRUE,0,1,0,0,TRUE,FALSE,0,0,0,0,0,4,0,1,FALSE,No,FALSE,0,0,3,NA,,
BH,20,B3,3748,C,FALSE,TRUE,0,0,1,0,TRUE,FALSE,0,0,0,0,3,5,0,0,TRUE,D,FALSE,0,0,3,NA,,
LJ,20,B2,10679,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,1,2,2,NA,0,"Kitbot, generally tried to avoid reef fouls but spent a lot of time looking a bit confused"
GL,20,B1,1885,M,FALSE,TRUE,1,0,0,0,TRUE,TRUE,2,6,1,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,"Pure algae bot, shooter consistency is a bit mid"
IH,20,R2,10449,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,0,FALSE,No,FALSE,0,0,0,di,,Disabled for majority of match
AX,20,R3,9403,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,1,FALSE,P,FALSE,0,0,2,NA,5,"Removed a few algae, struggled with intake + positioning coral on reef, frequently paused"
