scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
JJ,14,R2,3748,C,FALSE,TRUE,0,2,0,0,TRUE,TRUE,0,0,2,0,0,1,0,0,TRUE,D,TRUE,0,0,2,cs,,"Beached for a large portion of the match, station intake being small means vulnerable to defense"
GL,14,B2,346,F,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,1,0,0,0,0,0,1,FALSE,P,FALSE,0,3,2,cs,0,"Caused a coral descore, defense was lackluster since they didn41391t play for long, but slowed down opponent a little."
RX,15,R1,1731,M,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,0,0,0,2,5,2,TRUE,P,FALSE,0,0,4,NA,,Fast Cycling
JJ,15,R2,339,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,0,NA,"0,2",Tried to station defend 449 with ground intake. Doesn41391t matter because 449 is still garbage
TC,15,B1,540,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,No,FALSE,0,4,3,NA,,Coral got stuck in intake and forced them to do defense.
Ashwin,15,R3,888,C,FALSE,TRUE,0,0,0,3,TRUE,FALSE,0,0,0,1,0,3,2,1,FALSE,No,FALSE,0,0,4,NA,,
GL,15,B2,2363,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,2,0,2,0,1,3,0,TRUE,P,FALSE,0,0,3,NA,,Had some trouble near the coral station after failed drops
GEH,15,R1,449,C,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,1,2,3,3,0,FALSE,No,FALSE,0,0,4,NA,,The cycle times could be improved if we got coral directly from the station. 
JJ,16,R2,4505,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,5,2,1,FALSE,P,FALSE,0,0,2,NA,"2,1",Missed auto l4
GL,16,B2,611,C,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,2,1,3,0,FALSE,No,FALSE,0,0,3,NA,,Got defended for a good bit.
RX,16,R1,620,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,1,0,0,1,0,5,1,FALSE,P,FALSE,0,0,4,NA,,Missed two L4 shots in auto
TC,16,B1,3138,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,1,0,2,2,FALSE,P,FALSE,0,0,3,NA,1,Slow cycle and outake
GEH,16,R1,3373,M,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,0,1,0,1,2,TRUE,P,FALSE,0,0,2,NA,,"Very slow cycle times, missed about half the coral they tried to place"
Ashwin,16,R3,836,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,0,1,0,0,0,2,TRUE,D,FALSE,0,4,3,NA,1,Wobbled at least once every 10 seconds (i.e. extremely wobbly)
GEH,17,R1,6213,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,
JJ,17,R2,4821,M,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,0,TRUE,D,FALSE,0,0,3,NA,,"Removed algae in auto, scored two in opponent pros, drivetrain a little slow"
RX,17,R1,1727,F,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,3,1,6,0,1,FALSE,No,TRUE,0,0,3,NA,,Intake is inconsistent when loading
GL,17,B2,1629,F,FALSE,TRUE,0,0,0,3,TRUE,FALSE,0,1,0,0,0,2,7,0,FALSE,P,FALSE,0,0,4,NA,,"Had to solo, fast cycling. Had a coral stuck for a little bit but got free."
Ashwin,17,R3,8592,C,FALSE,TRUE,0,0,0,3,TRUE,FALSE,1,0,0,4,3,3,2,2,FALSE,P,FALSE,0,0,3,NA,,Missed some L4 but in a way such that most of them land in L1
BH,17,B1,1086,C,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,de,,
JJ,18,R2,2199,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,5,0,FALSE,No,FALSE,0,0,2,de,4,"Got hard defended by 2186, narrow intake couldn41391t cope."
BH,18,B1,116,C,FALSE,TRUE,1,0,0,0,TRUE,TRUE,5,0,2,0,0,0,0,0,TRUE,D,FALSE,0,0,4,NA,,Auto algae in net!!!
TC,18,R1,3359,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,3,2,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,2,And outake for algae
GL,18,B2,422,F,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,5,6,9,1,TRUE,D,FALSE,0,0,5,NA,,"Never felt rushed, even with a last second climb."
GEH,18,R1,2186,M,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,D,TRUE,0,4,4,NA,0,Did a good job of making one of the coral stations useable and pushing other robots away from it. 
Ashwin,18,R3,1908,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,1,TRUE,D,TRUE,0,0,3,NA,5,Dropped many coral on intakes
TC,19,R1,8590,C,FALSE,TRUE,0,0,0,0,,FALSE,0,0,0,1,6,6,0,2,FALSE,No,FALSE,0,0,4,NA,,
