scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,
AY,18,R3,2998,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,6,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Missed some L1
YZ,18,R2,2988,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,1,FALSE,No Card,Defense
BH,18,B1,4286,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,Got a foul during auto
YR,18,B3,5804,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,FALSE,P,FALSE,1,FALSE,No Card,
RN,18,R1,346,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,2,0,0,0,4,FALSE,P,FALSE,3,FALSE,No Card,
AY,19,R3,449,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,2,4,7,FALSE,No,FALSE,5,FALSE,No Card,
JJ,19,B2,9709,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,"Drive never moved, elevator did."
BH,19,B1,5724,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,
YR,19,B3,614,R1,FALSE,TRUE,1,0,0,0,FALSE,TRUE,0,0,1,4,1,0,0,TRUE,P,FALSE,3,TRUE,No Card,
RN,19,R1,1895,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,2,3,FALSE,No,FALSE,3,FALSE,No Card,
JJ,20,B2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,0,0,FALSE,P,FALSE,3,FALSE,No Card,
BH,20,B1,9214,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Defense
YZ,20,R2,9003,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,2,FALSE,No,FALSE,4,FALSE,No Card,
YR,20,B3,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,TRUE,No Card,
RN,20,R1,10257,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,1,0,FALSE,P,FALSE,2,FALSE,No Card,
AY,20,R3,4505,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,Took multiple shots; bad aim
AY,21,R3,6326,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Defense
YR,21,B3,1262,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,5,0,FALSE,P,FALSE,3,FALSE,No Card,
RN,21,R1,404,R2,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,3,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,
SZ,21,B2,2106,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,2,0,0,0,4,FALSE,P,FALSE,5,FALSE,No Card,
JY,21,R2,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,6,0,TRUE,D,TRUE,4,FALSE,No Card,coral stuck briefly
AY,22,R3,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,
YR,22,B3,10224,R3,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,1,0,0,3,FALSE,No,FALSE,1,FALSE,No Card,
RN,22,R1,540,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,7,2,0,FALSE,No,FALSE,3,FALSE,No Card,
SZ,22,B2,1599,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,0,TRUE,D,TRUE,4,FALSE,No Card,Missed intake a lot
RL,22,B1,3373,R2,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card,"Coral intake stuck in robot + tippy, okish defense"
JY,22,R2,1731,R2,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card,"defense, coral may have gotten stuck o just faile"
SR,23,R1,1086,R2,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,1,1,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,
YR,23,B3,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,2,FALSE,P,FALSE,3,FALSE,No Card,
JY,23,R2,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,FALSE,P,FALSE,3,FALSE,No Card,Kitbot
RL,23,B1,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,0,1,0,FALSE,No,FALSE,2,FALSE,No Card,"Elevator slow asf, wobbly in all directions"
SZ,23,B2,3361,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,4,FALSE,No Card,Attempted defense?
WR,23,R3,9003,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,FALSE,P,FALSE,2,FALSE,No Card,
JY,24,R2,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,TRUE,defense but disabled after crossing,
SR,24,R1,404,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,4,0,0,0,0,FALSE,No,FALSE,1,FALSE,No Card,
WR,24,R3,404,,FALSE,TRUE,0,0,0,0,TRUE,FALSE,3,0,4,0,0,0,0,FALSE,No,FALSE,4,FALSE,No Card,
SZ,24,B2,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,FALSE,P,FALSE,4,FALSE,Algae went inside robot and intake broke,
YR,24,B3,346,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,6,FALSE,P,FALSE,1,FALSE,No Card,
RL,24,B1,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,"Impatient driver, intake issues",
YR,25,B3,449,R1,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,5,3,2,FALSE,P,FALSE,4,FALSE,No Card,
WR,25,R3,1262,,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,2,0,0,FALSE,No,FALSE,2,FALSE,No Card,
SZ,25,B2,2106,R3,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,5,0,2,0,FALSE,P,FALSE,5,FALSE,No Card,
SR,25,R1,540,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,1,0,FALSE,No,FALSE,2,TRUE,No Card,
RL,25,B1,9214,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,"Floppy dead intake, crap defense :(",
JY,25,R2,10224,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,FALSE,No,FALSE,3,FALSE,"tank, position and angle for l4 is not optimal",
YR,26,B3,3361,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,
SZ,26,B2,1086,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,FALSE,P,FALSE,5,FALSE,No Card,
JY,26,R2,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,FALSE,P,FALSE,1,FALSE,"kitbot, part defense, bad intake, stuck coral",
RL,26,R1,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,1,0,FALSE,P,FALSE,3,TRUE,"Tried L4, failed 2x then died, revived ~30s later",
WR,26,R3,10370,,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,
SY,26,B1,617,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card,
SY,27,B1,9709,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,FALSE,P,FALSE,1,FALSE,Red,
YR,27,B3,2988,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,Barge foul,
